gene,time,kappa,nu,U_tilde,e_tilde,I_tilde,pval,padj
GPC3_IGF1R,0.02672410011291504,11.903829557948168,16.78872196569876,664.4769627706562,199.85008477545853,4757.9626926171,4.406592351569039e-06,6.063667469847089e-06
INS_IGF1R,0.028113365173339844,8.479177783472545,16.78872196567693,764.3528906456955,142.35455830426534,2414.0992162991474,4.770517314511835e-12,1.05678724366316e-11
GNAI2_IGF1R,0.027178525924682617,3.8967336361664917,16.788721965640942,312.280829543804,65.42117759176028,509.8578064788677,3.0446123400196257e-10,5.921411401455492e-10
S100A4_ERBB2,0.02417731285095215,31.7151992023653,16.788721965632828,2792.239161460283,532.457661493171,33774.00160216302,1.1520229215022937e-11,2.4743448835744918e-11
SEMA4D_ERBB2,0.08350658416748047,35.96658427926323,16.788721965632313,3477.4009485759834,603.8329835180324,43435.61978460055,3.006483950684924e-13,7.539101886489099e-13
HLA-A_ERBB2,0.02744579315185547,25.5008948362858,16.788721965657853,3787.1350809984206,428.12743328188225,21835.265305300487,0.0,0.0
HSP90B1_ERBB2,0.027323484420776367,52.716788082013856,16.788721965636395,2776.4950910276816,885.0474980303048,93313.7227923603,1.4136368577277736e-05,1.8425768013654884e-05
HSP90AA1_ERBB2,0.027802228927612305,14.583734558802732,16.78872196565229,2656.4318746266717,244.84226472861383,7141.4291951564255,0.0,0.0
PSEN1_NOTCH1,0.024641990661621094,5.943250371133658,16.788721965653323,304.112814194144,99.77957805322892,1186.0300285928251,2.440401263348324e-05,3.1151375299588424e-05
MFAP2_NOTCH1,0.02460312843322754,4.562500895947755,16.78872196564097,159.50364731618578,76.59855901005467,698.9619882233628,0.00574384072952272,0.0062637026940049086
JAG2_NOTCH1,0.026543140411376953,6.5704464705825965,16.788721965642203,198.33577694723584,110.30939898474634,1449.564002462828,0.023143900774605264,0.024069656805589475
PLAU_ST14,0.028870105743408203,134.94450028187595,16.788721965655075,14055.672293118278,2265.5456960266783,611445.8636321499,1.2212453270876722e-14,3.5910428070316076e-14
SPINT1_ST14,0.022908926010131836,34.28609971091281,16.788721965648747,3256.814009030658,575.6197953330251,39471.515396726645,6.173950239940496e-13,1.4950644208483355e-12
GNAI2_ADRA2A,0.02373194694519043,8.393254200003609,16.788721965633908,931.5609201475759,140.91201115074966,2365.42065884397,6.661338147750939e-16,2.269448996544113e-15
AGT_ADRA2A,0.024576187133789062,5.150151561096807,16.788721965651135,164.6082574779472,86.46446264021846,890.6101744918353,0.01399146477293678,0.014768768371433268
SAA1_ADRA2A,0.023540973663330078,7.084734975761028,16.788721965655427,183.24725772670598,118.94364570840642,1685.36841378975,0.07211866408365619,0.07330580258709085
CXCL2_ADRA2A,0.027295351028442383,10.774487709356702,16.788721965646793,1282.0659010101344,180.88987847466828,3897.9915447446815,0.0,0.0
APP_ADRA2A,0.02736949920654297,11.406281994845044,16.78872196568091,1869.4238335766154,191.49689707360565,4368.535218318725,0.0,0.0
CXCL1_ADRA2A,0.01824808120727539,5.073061295685884,16.788721965641077,147.04415980786985,85.17021560792519,864.147448691574,0.03216172318589461,0.03330794812124096
PPY_ADRA2A,0.025799036026000977,4.801897289013089,16.788721965641653,120.91661883503286,80.61771849280916,774.2360077540815,0.08522459745816202,0.08609601461008598
CXCL16_ADRA2A,0.025136470794677734,11.27162969927773,16.788721965649312,1208.9722909597788,189.2362571209292,4266.002031888845,3.219646771412954e-15,1.0195548109474354e-14
ANXA1_ADRA2A,0.02431488037109375,8.69062512892854,16.78872196563434,981.5793850555057,145.90448899713635,2536.002437003982,2.220446049250313e-16,7.835002488068962e-16
COL6A1_ITGA1,0.0252227783203125,12.087437570782987,16.78872196563301,470.69713239109495,202.93262865282202,4905.8709598317455,0.0016443692673016042,0.0018503836401981605
COL5A1_ITGA1,0.02766728401184082,14.051230317173314,16.788721965650833,605.4533879058724,235.9021990703465,6629.432262930214,0.00041662039133960604,0.00048654958232095835
COL6A2_ITGA1,0.04257535934448242,11.789236575497142,16.788721965643735,630.8229030030584,197.92621505321935,4666.797947510253,1.038403693598422e-05,1.3642857038234586e-05
COL6A3_ITGA1,0.020577192306518555,10.86009687024947,16.788721965634895,680.3981846914149,182.32714687448006,3960.1809542661126,3.2846878261771906e-07,5.070736831661038e-07
COL5A2_ITGA1,0.025607585906982422,14.238579508039116,16.78872196563564,478.74730097017687,239.04755254606584,6807.395166258634,0.008593275414580437,0.009228430553918992
COL1A2_ITGA1,0.025757789611816406,11.450166089127706,16.78872196564682,1076.3047576401702,192.23365493084268,4402.214553756424,9.392486788328824e-13,2.2523730453565237e-12
COL4A1_ITGA1,0.026284456253051758,16.82845171330808,16.788721965639894,373.46824122407315,282.52819692692566,9509.02423926553,0.16840098943368498,0.1694299160493694
FBN1_ITGB6,0.026041507720947266,15.130963273555617,16.78872196563969,459.66732118055836,254.0295354720307,7687.423143251381,0.021931263325989492,0.022904955778094736
FN1_ITGB6,0.028516054153442383,13.347055115014404,16.788721965640267,434.1261628363294,224.0799973860536,5981.616150567882,0.011877519893061295,0.012591190616249527
CSF1_CSF1R,0.028363943099975586,11.5112016692845,16.78872196564432,478.5626504627984,193.25836431607823,4449.272011836863,0.0006931244883607857,0.0008037640780521788
GNAS_PTGIR,0.07063746452331543,10.846587629650482,16.78872196563513,445.31853208193604,182.1003439900993,3950.334676956217,0.0008231642762475122,0.0009456817499215605
FGF19_FGFR4,0.028321266174316406,9.130430273368624,16.78872196563682,1561.5642722983025,153.28825528621925,2799.175453234309,0.0,0.0
PLAU_ITGA5,0.023447036743164062,62.79289423677092,16.788721965644584,7247.8955675602065,1054.2124427592732,132394.10084254193,1.1102230246251565e-16,4.0929117474987117e-16
SPP1_ITGA5,0.02864527702331543,18.616068386308758,16.788721965646868,2622.0237709069,312.5399962312061,11636.531886593628,0.0,0.0
FGG_ITGA5,0.023279428482055664,27.51618767487604,16.788721965666717,3677.3874629832408,461.9616244285992,25422.84551273587,0.0,0.0
FGA_ITGA5,0.050163984298706055,54.07210575790233,16.78872196569586,9954.837637712888,907.8015496691244,98173.48280179303,0.0,0.0
FGB_ITGA5,0.028117895126342773,19.486764286962007,16.788721965644623,2245.9246185670845,327.15786762385824,12750.49650202249,1.1102230246251565e-16,4.0929117474987117e-16
FBN1_ITGA5,0.025209665298461914,40.365323887287715,16.78872196563828,5532.668238313761,677.6821997966109,54709.72297487965,0.0,0.0
COL18A1_ITGA5,0.027405977249145508,46.31057958076505,16.788721965643393,4340.636084840273,777.4954446492667,72012.52932622435,1.053046538856961e-12,2.4890190918437262e-12
ADAM15_ITGA5,0.02408432960510254,49.48682628632873,16.788721965652375,6735.10712363331,830.8205674837105,82229.34619635087,0.0,0.0
FN1_ITGA5,0.024374008178710938,41.167165910720726,16.788721965641393,4142.691487675603,691.1441025885207,56904.88787895563,5.5844218138645374e-14,1.499295856548414e-13
WNT7B_LRP5,0.024008989334106445,36.1755687605108,16.78872196569428,2991.8340626216786,607.3415658710715,43941.85315457049,1.059393683888743e-10,2.1625639662852853e-10
DKK1_LRP5,0.02685403823852539,21.43495166837299,16.788721965670607,2309.4398355713365,359.86544390790147,15427.396794566917,2.6645352591003757e-15,8.603139986899253e-15
PSEN1_NCSTN,0.02278757095336914,15.236180964849591,16.788721965646925,1347.922762908499,255.7960060371419,7794.708476135305,9.633627229277408e-12,2.0799972855201077e-11
FN1_IL17RC,0.02266716957092285,26.927531830453415,16.788721965642196,1383.149562118786,452.07884512246267,24346.734983819464,2.2727848919101845e-05,2.9086936181441223e-05
PLAU_ITGB5,0.025751352310180664,33.242064325602044,16.788721965638945,2780.028787351005,558.0917755264178,37104.24540327727,7.221601094897778e-11,1.4864462253664592e-10
SPP1_ITGB5,0.031136035919189453,15.226466838022034,16.78872196564108,2068.0371579344373,255.632918262606,7784.772305264735,0.0,0.0
TLN1_ITGB5,0.027366161346435547,39.50909288424952,16.788721965687632,1516.4991965646316,663.3071755501927,52413.32961920353,0.001967424622223213,0.0022038724793157984
COL4A2_ITGB5,0.025233745574951172,24.99517118252771,16.788721965638224,1462.139732548835,419.63697946699045,20977.796272592583,1.6105075805183944e-06,2.3140271147599238e-06
ADAM9_ITGB5,0.022785663604736328,29.66898911710158,16.788721965646868,3595.0433876889947,498.1044092888212,29556.508596740696,0.0,0.0
COL18A1_ITGB5,0.023035287857055664,25.531261848646846,16.788721965642228,517.2579041068794,428.6372566089407,21887.30007313699,0.24964332139753864,0.25014969730301034
LTBP3_ITGB5,0.02398538589477539,20.37256722063653,16.78872196564582,663.5188720823938,342.02936679369657,13936.032532872663,0.01172844956888841,0.012459901262431988
LTBP1_ITGB5,0.027436017990112305,18.260669506145234,16.788721965642402,1536.9906996265597,306.5733032451569,11196.467539934105,5.775002698271692e-11,1.1986770306496707e-10
MST1_MST1R,0.023426294326782227,25.79070092311125,16.7887219656511,5888.214509913697,432.9929070973759,22334.38113755383,0.0,0.0
LAMC3_ITGA2,0.02610945701599121,14.446291004610519,16.788721965639613,1763.6474756968005,242.53476311112655,7007.455533275221,0.0,0.0
