,ligand,receptor,perm_pval,fdr,selected
2721,LAMB3,ITGA2,0.0,0.0,True
2723,COL1A2,ITGA2,0.0,0.0,True
2724,COL4A1,ITGA2,0.016000000000000014,0.030296577946768086,False
2725,FN1,ITGA2,0.0,0.0,True
2726,COL7A1,ITGA2,0.0,0.0,True
2727,COL3A1,ITGA2,0.0,0.0,True
2756,GAS6,AXL,0.0,0.0,True
2798,LRPAP1,LRP8,0.0,0.0,True
2801,INS,INSR,0.0,0.0,True
2803,ARF1,INSR,1.0,1.0,False
2806,HRAS,INSR,1.0,1.0,False
2807,CALM1,INSR,1.0,1.0,False
2812,FN1,ROBO4,1.0,1.0,False
2839,CD6,ALCAM,0.0,0.0,True
2840,S100A9,ALCAM,1.0,1.0,False
2852,PLAU,MRC2,0.0,0.0,True
2853,LGALS9,MRC2,1.0,1.0,False
2863,CALM1,AQP1,1.0,1.0,False
2866,C1QA,CSPG4,1.0,1.0,False
2867,C4B,CD46,1.0,1.0,False
2880,SEMA4A,PLXND1,1.0,1.0,False
2881,SEMA4D,MET,1.0,1.0,False
2934,GNAS,VIPR1,0.0,0.0,True
2937,PTMA,VIPR1,1.0,1.0,False
2938,CALM1,VIPR1,1.0,1.0,False
2963,AFDN,EPHB3,0.0,0.0,True
2975,FAM3C,LAMP1,1.0,1.0,False
3001,PLAU,PLAUR,0.0,0.0,True
3003,FN1,PLAUR,0.0,0.0,True
3020,LAMB3,COL17A1,0.0,0.0,True
3074,MDK,SDC3,0.0,0.0,True
3075,COL5A1,SDC3,1.0,1.0,False
3100,PLAU,IGF2R,1.0,1.0,False
3131,EFNA1,EPHA2,0.0,0.0,True
3133,SEMA4D,PLXNB1,0.0,0.0,True
3134,SEMA4A,PLXNB1,0.0,0.0,True
3138,S100A10,TRPV6,1.0,1.0,False
3146,B2M,TFRC,0.0,0.0,True
3148,SEMA3B,NRP2,0.5720000000000001,1.0,False
3149,VEGFA,NRP2,0.0,0.0,True
3150,PGF,NRP2,0.0,0.0,True
3167,LGALS9,CD47,1.0,1.0,False
3170,THBS2,CD47,1.0,1.0,False
3171,COL4A1,CD47,1.0,1.0,False
3177,GNAS,ADORA1,0.0,0.0,True
3179,AFDN,NECTIN4,0.43600000000000005,0.7866956521739131,False
3181,AFDN,F11R,1.0,1.0,False
3199,CD59,CD2,0.0,0.0,True
3204,MDK,TSPAN1,1.0,1.0,False
3217,MDK,SDC4,1.0,1.0,False
3224,BMP2,ENG,1.0,1.0,False
3237,ALOX5AP,ALOX5,0.0,0.0,True
3252,HLA-C,NOTCH4,0.0,0.0,True
3280,SPTBN2,PTPRA,0.0,0.0,True
3283,MDK,SDC1,1.0,1.0,False
3317,LAMB2,ITGB1,1.0,1.0,False
3320,MDK,ITGB1,0.0,0.0,True
3324,ADAM9,ITGB1,0.0,0.0,True
3327,VEGFA,ITGB1,0.0,0.0,True
3332,SPON2,ITGB2,1.0,1.0,False
3333,ICAM2,ITGB2,1.0,1.0,False
3336,VEGFA,SIRPA,0.0,0.0,True
3344,ADAM9,ITGA6,0.0,0.0,True
3357,VIM,CD44,0.0,0.0,True
3360,SEMA4D,PLXNB2,1.0,1.0,False
3365,CXCL17,GPR35,1.0,1.0,False
